PCA,LDA,CA,Chi2,RFE,VT,NoReduction
0.9452452680522145,0.9183340730473337,0.9362074893944456,0.9469507605695263,0.9453324808184143,0.9457724139071517,0.9469507605695263
0.9283395427374073,0.9726320672402696,0.9303333472701452,0.9283395427374073,0.9121771660751796,0.9171416453292836,0.9283395427374073
0.9018805138467566,0.9556379235390167,0.9821875,0.9199221950419549,0.9911524908119365,0.9112149877430312,0.9470765945445794
0.910677085622839,0.9504869778129259,0.8726206567625496,0.8834079931211518,0.9305485575078152,0.9029033148052782,0.9118438837901865
0.9543589412770923,0.9821033932427081,0.9360690686409382,0.9469359912904605,0.9543589412770923,0.9371334757217127,0.9543589412770923
0.9249299557060328,0.9040483027679964,0.9429623861957155,0.9163114515621609,0.9532558886135423,0.9249299557060328,0.9249299557060328
0.9314554973040049,0.9407894736842105,0.9308202184276646,0.9013157894736843,0.9308202184276646,0.9305485575078152,0.910677085622839
0.9350278582997448,0.9626596790042581,0.9177625139526924,0.9262899633644615,0.9253193580085162,0.9066491975106452,0.9262899633644615
0.9296296296296296,0.9304430856687096,0.9297661680436549,0.9296296296296296,0.9221166337259961,0.9384368390952051,0.9208252113091397
0.927816491577359,0.9818294557342313,0.9154829252893135,0.944803127487718,0.9439895185063871,0.9461998613624396,0.9546524648361989
0.9330656158735169,0.9614864864864865,0.8987949435138183,0.952215918514937,0.9622590592970439,0.9241552756673526,0.9622590592970439
0.944803127487718,0.9534053059802516,0.9350278582997448,0.9253193580085162,0.9350278582997448,0.8969108876970354,0.896719267909057
0.9472476615345036,0.9268813170544026,0.9453324808184143,0.9278993601487588,0.9453324808184143,0.9278993601487588,0.9460064600214235
0.8935498658130846,0.9118438837901865,0.9129214913323815,0.9337463984126417,0.8655192299820896,0.9167916562448014,0.9016627831066644
0.951166700486987,0.9710557197659957,0.961025641025641,0.9214081721856466,0.9415384615384615,0.9322931168516784,0.9314554973040049
0.9538585286809,0.9350278582997448,0.9459412925079224,0.9164397114308651,0.9447897790253813,0.944317519497424,0.9350278582997448
0.9145808598781296,0.9510671108178232,0.9520253566747369,0.9322931168516784,0.9040483027679964,0.9322931168516784,0.9233128391609499
0.9177791960047841,0.944803127487718,0.9640008660045454,0.9007853967776753,0.9355734854717404,0.9360690686409382,0.8664174877954365
0.9706787243316417,0.9608989503436111,0.878810642006666,0.961025641025641,0.961025641025641,0.9233128391609499,0.8978011491257337
0.925911880734654,0.9350849901215303,0.9629945833701035,0.9070339824439267,0.8882863278793861,0.9163114515621609,0.8978515645619854
0.8909594681520469,0.927816491577359,0.8634835310013731,0.9094331217922783,0.892924511751207,0.8820644074633844,0.9015672480007069
0.9268295228290114,0.9504200293927911,0.9510671108178232,0.9504200293927911,0.9706580365209673,0.8999655316031473,0.9504200293927911
0.8910497520071976,0.9183550575307454,0.9637980311209908,0.9000887629220061,0.9274170381883113,0.9190070219254929,0.9183550575307454
