PCA,LDA,CA,Chi2,RFE,VT,NoReduction
0.6804559846156111,0.7032342135716124,0.6517025543715858,0.699527176125527,0.6648380639252475,0.6887621434506609,0.7015991549106438
0.701024390626109,0.6851221276132533,0.6766181060743824,0.7046127076208282,0.7027508669593214,0.6945490339203118,0.6914566096450274
0.680160749318129,0.681142209327368,0.6937188918469819,0.6848711093339294,0.664495193763757,0.6706871243294941,0.6881232626573917
0.6781741612749496,0.6911513094044779,0.6904240615041772,0.6967665306474833,0.6781741612749496,0.6959915774024446,0.6625813109883257
0.7055347809627972,0.6895860494178427,0.7096827844528548,0.7017273400562695,0.6816116836453654,0.7052337437405111,0.7058883055413421
0.6826353146203105,0.6726509755588383,0.6610846494579568,0.6933185225440238,0.6766579247385124,0.6786762331915175,0.6872149563440988
0.6765456389842561,0.6728289270700543,0.705045767674561,0.7075088658311408,0.6740398420596745,0.6694676505456968,0.6574401916643002
0.6745517854158336,0.6979796031635519,0.6873705666074286,0.667547004872456,0.6718716885913325,0.6917417227599811,0.6625657457624317
0.6560898511797252,0.666120696400293,0.6508645068729051,0.6761352618024975,0.6578810491352616,0.6745955919205229,0.6602904849621682
0.6993016654374816,0.6888551008327053,0.7050439102858715,0.7125510502976826,0.7240515454591296,0.7182800338806349,0.6945490339203118
0.6551695543760643,0.6593022985108502,0.6499929419384468,0.6766275354090265,0.6721586885452484,0.6728208674700187,0.6514401206026643
0.6916976758372476,0.7136353647697377,0.7031448500723757,0.6883316933124644,0.7020623639315845,0.6869597783157262,0.7032224666845893
0.6928007930063441,0.7045760027754946,0.6618322308496553,0.6933342763333632,0.6556836247536783,0.6582108381642011,0.7045760027754946
0.669333923720258,0.6600746260904693,0.6686291788943001,0.6492829848056714,0.6357496712044115,0.6410954337401915,0.6555607060386786
0.6915682963716394,0.6902088049297472,0.6989561498672512,0.682235211919122,0.6884634474930733,0.6815274207828814,0.7008223067024477
0.7139505055269146,0.7011049106682055,0.6699271582768282,0.7135273949029253,0.7127356064108827,0.7068120452436604,0.7245983640225659
0.6945297852504638,0.7137945389143407,0.7007718684467141,0.6814437583394246,0.7091282003207285,0.6787638714593373,0.6819614892442103
0.6842429667485379,0.6532931277451387,0.6535919220047073,0.6582108381642011,0.6716733020365784,0.659233851079456,0.663832354423981
0.6793559203159023,0.6883122345339713,0.6709835732134686,0.6797320607782268,0.6793559203159023,0.6717404754953309,0.6992086620588222
0.7298791586496781,0.7065231279828216,0.7045486465532347,0.7229166666666667,0.7178239854064643,0.6950466583226397,0.7011212639571975
0.6676492559546754,0.6659126072027596,0.6652523678170786,0.6812206089022689,0.6821079142081362,0.666128566627402,0.6613986626397096
0.6952474045021093,0.7222130126724834,0.7084082046722383,0.6952474045021093,0.6876221392760236,0.7247187279895213,0.7222130126724834
0.6744076696871188,0.6907171933773186,0.6729919345516706,0.6761584005639986,0.671210005135102,0.6828824590950747,0.6874519249928756
0.6771694943917936,0.680494634970162,0.6714885853051082,0.6807728386938202,0.6807728386938202,0.6963790711314953,0.6606195635580925
0.6515024244865074,0.6588147997001128,0.6571948098929208,0.6456191528786726,0.6627001102116779,0.6494285768085719,0.6549334285211145
0.6791810984661059,0.624498617290727,0.6514744028953752,0.6795834866842212,0.676772974161702,0.6790165483333851,0.6449547444301802
0.6844288979227995,0.6809639691536821,0.6936302100788976,0.6826827728010252,0.6777812968870915,0.6864139776048657,0.6929756029484901
0.6530491891775219,0.6617629155347344,0.6410372359697604,0.6774557892411404,0.654318825933141,0.6675271859756207,0.6735483273001748
0.6386051818682748,0.6659974778663347,0.6751892999085167,0.6653106983918065,0.6606710095323132,0.6606710095323132,0.6774191777233769
0.6876627830926445,0.6893125989853077,0.6680652581350033,0.6814046798671902,0.6977335273013766,0.6818431398981148,0.6792055259092602
